|XML_gashaponpresentlistwnd_27|해외(1)|
|XML_gashaponpresentlistwnd_28|해외(2)|
|XML_gashaponpresentlistwnd_29|해외(3)|
|XML_gashaponpresentlistwnd_30|해외(4)|
|XML_gashaponpresentlistwnd_31|해외(5)|
|XML_gashaponpresentlistwnd_32|해외(6)|
|XML_gashaponpresentlistwnd_33|해외(7)|
|XML_gashaponpresentlistwnd_34|해외(8)|
|XML_gashaponpresentlistwnd_35|해외(9)|
|XML_gashaponpresentlistwnd_36|해외(10)|
|XML_gashaponpresentlistwnd_37|해외(11)|
|XML_gashaponpresentlistwnd_38|해외(12)|
|XML_gashaponpresentlistwnd_39|해외(13)|
|XML_gashaponpresentlistwnd_40|해외(14)|
|XML_gashaponpresentlistwnd_41|해외(15)|
|XML_gashaponpresentlistwnd_42|해외(16)|
|XML_gashaponpresentlistwnd_43|해외(17)|
|XML_gashaponpresentlistwnd_44|해외(18)|
|XML_gashaponpresentlistwnd_45|해외(19)|
|XML_gashaponpresentlistwnd_46|해외(20)|
|XML_gashaponpresentlistwnd_47|해외(21)|
|XML_gashaponpresentlistwnd_48|해외(22)|
|XML_gashaponpresentlistwnd_49|해외(23)|
|XML_gashaponpresentlistwnd_50|해외(24)|
|XML_gashaponpresentlistwnd_51|해외(25)|
|XML_lobbymainwnd_1|보너스캐시 |
|XML_lobbymainwnd_2|기간만료 |
|XML_lobbymainwnd_3|임박 |
|XML_lobbywnd_1|훈련소|
|XML_lobbywnd_2|개인본부|
|XML_lobbywnd_3|길드본부|
|XML_myinventorywnd_1|내아이템|
|XML_myinventorywnd_2|전체|
|XML_myinventorywnd_3|프리미엄|
|XML_myinventorywnd_4|근거리|
|XML_myinventorywnd_5|원거리|
|XML_myinventorywnd_6|마법|
|XML_myinventorywnd_7|특수|
|XML_myinventorywnd_8|★패키지|
|XML_myinventorywnd_9|전체|
|XML_myinventorywnd_10|무기|
|XML_myinventorywnd_11|갑옷|
|XML_myinventorywnd_12|투구|
|XML_myinventorywnd_13|망토|
|XML_myinventorywnd_14|메달|
|XML_myinventorywnd_15|★기능|
|XML_myinventorywnd_16|전체|
|XML_myinventorywnd_17|성별|
|XML_myinventorywnd_18|머리|
|XML_myinventorywnd_19|머리색|
|XML_myinventorywnd_20|얼굴|
|XML_myinventorywnd_21|피부색|
|XML_myinventorywnd_22|기본옷|
|XML_myinventorywnd_23|★패키지|
|XML_myinventorywnd_24|전체|
|XML_myinventorywnd_25|유니크|
|XML_myinventorywnd_26|레어|
|XML_myinventorywnd_27|일반|
|XML_myinventorywnd_28|전체|
|XML_myinventorywnd_29|기능|
|XML_myinventorywnd_30|프리미엄|
|XML_myinventorywnd_31|놀이|
|XML_myinventorywnd_32|낚시|
|XML_myinventorywnd_33|선물함|
|XML_myinventorywnd_34|임시보관함|
|XML_myinventorywnd_35|전체|
|XML_myinventorywnd_36|갑옷|
|XML_myinventorywnd_37|투구|
|XML_myinventorywnd_38|망토|
|XML_myinventorywnd_39|★기능|
|XML_myinventorywnd_40|전체|
|XML_myinventorywnd_41|반지|
|XML_myinventorywnd_42|목걸이|
|XML_myinventorywnd_43|팔찌|
|XML_myinventorywnd_44|용병|
|XML_myinventorywnd_45|장비|
|XML_myinventorywnd_46|치장|
|XML_myinventorywnd_47|정기|
|XML_myinventorywnd_48|특별|
|XML_myinventorywnd_49|보관함|
|XML_myinventorywnd_50|코스튬|
|XML_myinventorywnd_51|액세서리|
|XML_myinventorywnd_52|기간만료된 악세사리는 장착할 수 없습니다.|
|XML_myinventorywnd_53|기간만료로 삭제하시겠습니까?|
|XML_myinventorywnd_54|골드충전|
|XML_myinventorywnd_55|용병|
|XML_myinventorywnd_56|장착|
|XML_myinventorywnd_57|해제|
|XML_myinventorywnd_58|팔기|
|XML_myinventorywnd_59|바로받기|
|XML_myinventorywnd_60|분해|
|XML_myinventorywnd_61|추가 기능|
|XML_myinventorywnd_62|사용설정|
|XML_myinventorywnd_63|팔기|
|XML_myinventorywnd_64|개인본부 꾸미기 아이템|
|XML_myinventorywnd_65|육성하기|
|XML_myinventorywnd_66|코스튬#|
|XML_myinventorywnd_67|장비|
|XML_myinventorywnd_68|의|
|XML_myinventorywnd_69|외형|
|XML_myinventorywnd_70|변경시켜주는 #|
|XML_myinventorywnd_71|특별한 외형장비아이템#|
|XML_myinventorywnd_72|단, 스킬은 바뀌지 않음.#|
|XML_myinventorywnd_73|옵션->게임탭#|
|XML_myinventorywnd_74|에서 다른유저의 코스튬#|
|XML_myinventorywnd_75|ON/OFF 설정 변경 가능.#|
|XML_myinventorywnd_76|<주의 사항>#|
|XML_myinventorywnd_77|※ 본부,광장,몬스터던전#|
|XML_myinventorywnd_78|    에서는 모든유저의 #|
|XML_myinventorywnd_79|    코스튬 착용 모습 적용|
|XML_myinventorywnd_80|보너스캐시 |
|XML_myinventorywnd_81|기간만료 |
|XML_myinventorywnd_82|임박 |
|XML_newshopwnd_1|상점|
|XML_newshopwnd_2|전체|
|XML_newshopwnd_3|용병|
|XML_newshopwnd_4|장비|
|XML_newshopwnd_5|코스튬|
|XML_newshopwnd_6|치장|
|XML_newshopwnd_7|특별|
|XML_newshopwnd_8|전체|
|XML_newshopwnd_9|프리미엄|
|XML_newshopwnd_10|근거리|
|XML_newshopwnd_11|원거리|
|XML_newshopwnd_12|마법|
|XML_newshopwnd_13|특수|
|XML_newshopwnd_14|★패키지|
|XML_newshopwnd_15|전체|
|XML_newshopwnd_16|보급|
|XML_newshopwnd_17|무기|
|XML_newshopwnd_18|갑옷|
|XML_newshopwnd_19|투구|
|XML_newshopwnd_20|망토|
|XML_newshopwnd_21|★기능|
|XML_newshopwnd_22|전체|
|XML_newshopwnd_23|성별|
|XML_newshopwnd_24|머리|
|XML_newshopwnd_25|머리색|
|XML_newshopwnd_26|얼굴|
|XML_newshopwnd_27|피부색|
|XML_newshopwnd_28|기본옷|
|XML_newshopwnd_29|모션|
|XML_newshopwnd_30|★패키지|
|XML_newshopwnd_31|전체|
|XML_newshopwnd_32|기능|
|XML_newshopwnd_33|프리미엄|
|XML_newshopwnd_34|놀이|
|XML_newshopwnd_35|길드본부|
|XML_newshopwnd_36|개인본부|
|XML_newshopwnd_37|낚시|
|XML_newshopwnd_38|클로버샵|
|XML_newshopwnd_39|이벤트샵|
|XML_newshopwnd_40|M-코인샵|
|XML_newshopwnd_41|전체|
|XML_newshopwnd_42|보급|
|XML_newshopwnd_43|갑옷|
|XML_newshopwnd_44|투구|
|XML_newshopwnd_45|망토|
|XML_newshopwnd_46|★기능|
|XML_newshopwnd_47|전체|
|XML_newshopwnd_48|확률확인은 로비에서만 가능합니다.|
